,manual-log,manual-log_time,manual-linear,manual-linear_time,built-in,built-in_time
beadpack_final,,,1.993317647720023e-07,3.310021162033081,9.146533808836715e-06,63.02141261100769
beadpack_initial,,,4.614124839998589e-08,2.8730106353759766,4.299169166137297e-06,53.843066930770874
estaillades_final,,,4.843742784448567e-07,2.7030117511749268,1.0590197437772893e-05,51.16255712509155
estaillades_initial,,,7.453457311906047e-08,2.5220022201538086,8.522200542526558e-07,46.53039526939392
ketton_final,,,,,,
ketton_initial,,,6.388293668591061e-05,10.015042066574097,0.0028047262410494976,213.70338463783264
Menke2015_final,,,0.00406679360925688,11.96005129814148,0.09807595809619934,262.22396183013916
Menke2015_initial,,,7.625716032666485e-05,7.733033895492554,0.00741235621954431,166.19207429885864
AH_final,,,0.030918724851233037,7.6020283699035645,0.4163806701308692,153.1377124786377
AH_initial,,,1.6132665895190958e-08,4.793017864227295,6.759456345884293e-08,72.79410195350647
AL_final,,,0.004300483283494749,5.7640180587768555,0.056920872252595615,110.69376468658447
AL_initial,,,1.5369193596476627e-08,4.240021228790283,1.5335477799189067e-08,59.80395531654358
BH_final,,,0.019313513402331672,6.307024002075195,0.2865830931102008,129.03466296195984
BH_initial,,,2.081578562805191e-08,3.1880125999450684,1.3749553002712928e-08,42.68002510070801
BL_final,,,0.0010090463534073724,5.457020998001099,0.008790518808998936,107.25401997566223
BL_initial,,,1.3346509437128703e-08,3.6300148963928223,6.093360634425615e-09,51.05321764945984
est0.1ph3.1_final,,,0.004354717697390598,7.822034597396851,0.06903346641400904,168.36320161819458
est0.1ph3.1_initial,,,6.53139497374805e-05,4.144026756286621,8.305457935300213e-05,85.85236382484436
est0.1ph3.6_final,,,0.00680781580478218,9.205042600631714,0.11516491944146284,205.63717222213745
est0.1ph3.6_initial,,,0.00011897497254445555,6.259031057357788,0.00011704367178834258,129.04507660865784
ket0.1ph3.1_final,,,0.006827881862534024,0.7819955348968506,0.10266857777635148,13.441954851150513
ket0.1ph3.1_initial,,,7.765848639729178e-05,0.5000083446502686,0.0005046510243179561,8.426033020019531
ket0.1ph3.6_final,,,7.002407362688423e-05,0.8960034847259521,0.002535963511032239,16.19605779647827
ket0.1ph3.6_initial,,,6.43701458140633e-05,0.886000394821167,0.0025212597380087826,15.953072309494019
port0.1ph3.1_final,,,0.005051323194295243,3.432014226913452,0.1305381095630141,69.61253595352173
port0.1ph3.1_initial,,,1.4832871925652552e-05,1.7709989547729492,4.810739932063966e-06,39.90992546081543
port0.1ph3.6_final,,,0.005693153626320502,5.100022792816162,0.19541683993584932,106.49154329299927
port0.1ph3.6_initial,,,6.642875045942409e-05,2.916017770767212,1.499587493215077e-05,56.191847801208496
Sil_HetA_High_final,,,0.002195303828117723,6.864022731781006,0.046996082138081985,102.30944347381592
Sil_HetA_High_initial,,,0.00018732901698570448,5.055020809173584,0.0005361705589079031,101.8336911201477
Sil_HetA_Low_final,,,0.0010970119581603655,6.758028507232666,0.017149799243928697,136.88308882713318
Sil_HetA_Low_initial,,,0.00023103011428504683,5.863021612167358,0.0005390009131453792,119.13700652122498
Sil_HetB_High_final,,,0.0024519869971433295,7.415038824081421,0.08342773242877803,155.41663312911987
Sil_HetB_High_initial,,,0.00013315918175660357,4.197024822235107,5.52380108848247e-05,86.86532950401306
Sil_HetB_Low_final,,,0.001044474054424871,5.506021976470947,0.006761592882743994,110.28447699546814
Sil_HetB_Low_initial,,,0.00013593471855483097,4.889021158218384,0.00010533451525650427,96.48590970039368
Hinz2019_final,,,3.0397873367771916e-06,0.9010028839111328,8.602273953612804e-05,14.791057825088501
Hinz2019_initial,,,1.4820460692344974e-06,0.2629978656768799,7.564033787579085e-06,5.218022108078003
