Publication,Sample_Name,nx,ny,nz,VoxelSize,Steps
AlKhulaifi2018,Sil_HetA_High,839,849,812,5.20e-6,9
AlKhulaifi2018,Sil_HetA_Low,936,936,787,5.20e-6,9
AlKhulaifi2018,Sil_HetB_High,911,914,829,5.20e-6,9
AlKhulaifi2018,Sil_HetB_Low,903,889,785,5.20e-6,9
AlKhulaifi2019,AH,914,905,834,5.20e-6,10
AlKhulaifi2019,AL,909,910,831,5.20e-6,10
AlKhulaifi2019,BH,926,916,799,5.20e-6,10
AlKhulaifi2019,BL,926,925,854,5.20e-6,10
Menke2015,Menke2015,922,902,911,3.81e-6,10
Menke2017,est0.1ph3.1,998,998,800,4.07e-6,7
Menke2017,est0.1ph3.6,998,998,900,4.15e-6,6
Menke2017,ket0.1ph3.1,498,498,324,8.14e-6,11
Menke2017,ket0.1ph3.6,499,499,450,8.14e-6,9
Menke2017,port0.1ph3.1,800,800,800,4.59e-6,7
Menke2017,port0.1ph3.6,875,900,800,4.15e-6,9
PereiraNunes2016,beadpack,500,500,500,3e-6,2
PereiraNunes2016,estaillades,650,650,650,3.3e-6,2
Pe0.1,estaillades_sim2,650,650,670,3.3e-6,263
Pe10,estaillades_sim1,650,650,670,3.3e-6,200
Pe100,ketton,1000,1000,1000,3.3e-6,50
Pe0.0005,ket0.1ph3.6_sim1,499,499,470,8.14e-6,300
Pe0.5_cont,ket0.1ph3.6_sim2,499,499,470,8.14e-6,99
Pe50_1e5particles,ket0.1ph3.6_sim3,499,499,470,8.14e-6,200
Pe_0.0005,ket0.1ph3.1_sim1,498,498,344,8.14e-6,200
Pe_0.5_extra30min,ket0.1ph3.1_sim2,498,498,344,8.14e-6,250
Pe_50,ket0.1ph3.1_sim3,498,498,344,8.14e-6,100
