Sample_Name,nx,ny,nz,behavior,pc,Pe,adv_Da,diff_Da,rb,reff,ratio,EMD_Gaussian,EMD_LogNormal,SA_hv,Vol_hv,SSA,chemical_makeup,chemical_heterogeneity,permeability
beadpack,500,500,500,uniform,2.47,100,1.80E-04,1.80E-02,8.10E-04,?,5.00E-02,0.026927233,1.99E-07,1.32E-01,6.67E-02,1.97,0,0,?
estaillades,650,650,650,wormhole,2.79,100,4.00E-04,4.00E-02,8.10E-04,?,2.40E-02,0.618733987,4.84E-07,6.43E-02,1.23E-01,5.25E-01,0,0,?
Menke2015,922,902,911,uniform,3.66,1050,6.50E-05,7.00E-02,6.90E-04,2.30E-05,3.33E-02,0.006299014,0.004066794,5.68E-02,4.08E-02,1.39,0,0,4.33E-10
AH,914,905,834,wormhole,7.1,529,5.41E-05,2.86E-02,1.39E-04,?,?,0.019570879,0.030918725,4.89E-03,3.88E-02,1.26E-01,2,1,8.00E-10
AL,909,910,831,wormhole,8.11,126,1.85E-04,2.33E-02,1.24E-04,?,?,0.297945737,0.004300483,4.49E-03,4.61E-02,9.73E-02,2,1,5.30E-11
BH,926,916,799,wormhole,6.55,642,4.89E-05,3.13E-02,1.53E-04,?,?,0.023452037,0.019313513,5.48E-03,3.82E-02,1.43E-01,2,1,4.70E-10
BL,926,925,854,wormhole,6.41,109,2.31E-04,2.51E-02,1.11E-04,?,?,0.301243964,0.001009046,8.59E-03,4.40E-02,1.95E-01,2,1,3.70E-11
est0.1ph3.1,998,998,800,wormhole,7.57,164,2.80E-04,4.61E-02,8.10E-04,4.26E-06,5.26E-03,0.002861672,0.004354718,1.37E-02,4.14E-02,3.32E-01,0,0,6.44E-11
est0.1ph3.6,998,998,900,wormhole,4.84,184,9.28E-05,1.70E-02,2.56E-04,9.61E-06,3.75E-02,0.00284987,0.006807816,2.11E-02,6.97E-02,3.03E-01,0,0,1.45E-10
ket0.1ph3.1,498,498,324,wormhole,7.81,276,2.24E-04,6.18E-02,8.10E-04,8.71E-06,1.08E-02,0.004860653,0.006827882,1.61E-02,3.29E-02,4.90E-01,0,0,1.04E-10
ket0.1ph3.6,499,499,450,uniform,2.82,169,1.26E-04,2.13E-02,2.56E-04,3.76E-05,1.47E-01,0.088654113,7.00E-05,1.47E-01,8.82E-02,1.66,0,0,2.01E-10
port0.1ph3.1,800,800,800,wormhole,4.61,404,1.44E-04,5.84E-02,8.10E-04,1.16E-06,1.43E-03,0.15295176,0.005051323,1.96E-02,6.79E-02,2.88E-01,0,0,1.47E-10
port0.1ph3.6,875,900,800,wormhole,4.15,330,5.95E-05,1.96E-02,2.56E-04,5.74E-06,2.24E-02,0.359806476,0.005693154,2.59E-02,7.33E-02,3.54E-01,0,0,2.52E-10
Sil_HetA_High,839,849,812,uniform,4.71,1217,6.81E-06,8.29E-03,5.10E-05,4.96E-06,9.73E-02,0.00154798,0.002195304,3.24E-02,4.50E-02,7.21E-01,1,0,1.23E-10
Sil_HetA_Low,936,936,787,wormhole,6.01,347,2.84E-05,9.85E-03,5.10E-05,2.62E-06,5.14E-02,0.001137037,0.001097012,3.81E-02,4.98E-02,7.65E-01,1,0,2.42E-11
Sil_HetB_High,911,914,829,uniform,3.02,1720,6.89E-06,1.19E-02,5.10E-05,9.73E-06,1.91E-01,0.001889146,0.002451987,7.04E-02,8.95E-02,7.87E-01,1,0,2.93E-10
Sil_HetB_Low,903,889,785,wormhole,6.12,297,2.17E-05,6.44E-03,5.10E-05,1.46E-06,2.89E-02,0.795889097,0.001044474,2.09E-02,4.13E-02,5.07E-01,1,0,5.38E-10
Hinz2019,400,400,400,compact,4.37,?,?,?,9.80E-07,1.50E-05,15.3,0.005331121,3.04E-06,6.20E-02,5.01E-02,1.24,1,0,?
