Pe,Da
896.0709735,1.319885166
868.0609087,0.006566993
8.571291504,0.01259329
1.72400946,0.061669935
0.426108807,0.251248573
0.422944033,0.024545387
0.422030653,0.012503486
0.42754067,0.007155892
0.084299772,0.007039487
0.042754067,0.007155892
0.042199919,0.012216021
0.042920126,0.023984646
0.042604528,0.239828576
0.043561601,2.455270776
0.045537334,251.4172016
0.004390065,27.58280673
0.008894157,12.89443849
0.008961378,1.35094443
0.009159272,0.123120187
0.008506997,0.001201999
0.04251252,0.001221693
1.62552973,0.000660874
42.60452798,0.002398286
81.39723296,0.001258672
863.5428119,0.001289059
